Id,Country
LE FLOCH ANGI,FR
REEH JONATHAN,US
STEVENS JADY,US
JEFFERSON TIFFANY,US
MCINTIRE JUSTIN,US
HADLEY CHRIS,US
ZBRANEK JOHN,US
PARKEY JEFFREY S,US
BALASUBRAMANIAN ASHWIN KUMAR,US
VARUGHESE JIBI,US
HITCHENS GEOFFREY D,US
PENNY MARC W,US
PARK SUN SOON,KR
RYU SEONG PIL,KR
KWAPISZ JAKUB,CH
BENZ UWE,DE
FLECK WOLFRAM,DE
HORNBURG GERALD,DE
IWASE MASAYOSHI,JP
NORDEN ROLAND,DE
SATAKE MASAMITSU,JP
BASHYAM RAJESH,CA
MANI PRASANNA,CA
WU DONGHUA,CN
LI YANKUN,CN
TIAN QING,CN
ZHANG HUIQING,CN
XIAO CHANJUAN,CN
HAN QINGJUN,CN
YAO ZHENGBIN,CN
MAJOR GREGORY A,US
PLEUNE JEFFREY M,US
DOHLE HENDRIK,DE
MURATA SHIGEAKI,JP
STEINWANDEL JUERGEN,DE
WOLFF CHRISTIAN,DE
HOFFJANN CLAUS,DE
HABERBUSCH MARK STEVEN,US
PUTMAN PHILIP TRAVIS,US
MATSUMOTO MITSUHIRO,JP
FUKUSHIMA HIROTAKA,JP
KUBOSHIMA HIDEHIKO,JP
NAKAMURA CHITOSHI,JP
TARCHINSKI JAMES E,US
ZHANG YANYAN,US
MUSSRO JOSEPH,US
MAENAKA TAKESHI,JP
IMAI ATSUSHI,JP
LABELLE STEPHANE,CA
ODA KOHEI,JP
NIETSCH THOMAS,FR
VERDU OLIVIER,FR
SAITO HIROMU,JP
KAJIWARA KENTARO,JP
SHIMOYAMA SATORU,JP
HORIGUCHI TOMOYUKI,JP
PARK GUN IL,KR
PARK HEE JUN,KR
KOO KEUN HOE,KR
KIM EUN KYUNG,KR
SUNG YONG WOOK,KR
KIM YONG KYU,KR
JUFUKU YASUNOBU,JP
MIZUNO MINOBU,JP
OJIMA KUNIAKI,JP
MURAKAMI YOSHIKAZU,JP
SAITOH DAI,JP
KAGAMI FUMIO,JP
PETERSSON MARTIN,SE
ANDERSSON BENGT,SE
OKU TAKANORI,JP
UEHARA SHIGETAKA,JP
ABE MITSUTAKA,JP
CHENG HANSONG,CN
SUN YANLONG,CN
GUAN YILONG,CN
CHIKUGO HAYATO,JP
TOMITA YOUSUKE,JP
RITTERHOFF JUERGEN,DE
HÜLZ HARTWIG,DE
KEIM MARTIN,DE
STENGER HERBERT,DE
STUEHLER WALTER,DE
SATO KENJI,JP
YOSHIKAWA HIROO,JP
KAWASUMI AKITO,JP
FUKUMA KAZUNORI,JP
NAGUMO KENJI,JP
SATO TAKAHARU,JP
POMMER HANS,DE
DANNENBERG NORBERT,DE
MASUDA TOMOKAZU,JP
TSUTSUI YUSUKE,JP
HIRATA SHOGO,JP
MURAMATSU YASUYUKI,JP
BOODAGHIANS RAZMIK,US
BRUNAUX YANNICK,FR
EIJKELENBOOM ADRIAAN,NL
HOOGEVEEN ANDREAS,NL
LIBIS JEAN-PAUL,FR
MASSET FRANCK,FR
METZ ANDREAS,DE
MUYU FREDRIC,DE
NASTASE LUCAS,DE
REEB ACHIM,US
CHAISE ALBIN,FR
GILLIA OLIVIER,FR
OHNEMUS ULRICH,DE
YU SEUNG WAN,KR
ROOZEBOOM FRED,NL
EHM DIRK HEINRICH,DE
ILLIBERI ANDREA,BE
BECKER MORITZ,DE
TE SLIGTE EDWIN,NL
CREIJGHTON YVES LODEWIJK MARIA,NL
KNEPPLE RONNY,DE
SPETH BERND,DE
KOJIMA YASUSHI,JP
MIMATSU NAOYUKI,JP
MURASHIGE SEIGO,JP
ASANO YUTAKA,JP
RICHTER TIMOTHY GERARD,US
SALASOO LEMBIT,US
RYU HO-JIN,KR
KOUZU KATSUMI,JP
MARUKAWA SHUUHEI,JP
KOBAYASHI TAKAKI,JP
KAKINO MANABU,JP
ETOH TOYOHIKO,JP
FUKAO YASUYOSHI,JP
KANAMARU KUNIO,JP
WATANABE KOH,JP
INUI KIWAMU,JP
MACCREADY PAUL,US
HIBBS BART D,US
CURTIN ROBERT F JR,US
SWANSON KYLE D.,US
BELIK PAUL,US
KOLODZIEJ JASON R,US
NAGANUMA YOSHIAKI,JP
OGAWA TOMOHIRO,JP
MARUO TSUYOSHI,JP
TOIDA MASASHI,JP
LYONS ARTHUR PAULL,US
GREWE TIMOTHY MICHAEL,US
IIDA TAKAHIDE,JP
TAKAHARA MASATOSHI,JP
KIMURA KEISUKE,JP
ROHERA HEMANT KARAMCHAND,IN
NITSCHE CHRISTOF,DE
SCHROEDL STEFAN,US
WEISS WOLFGANG,US
ITO MASAYUKI,JP
ARAKI YASUSHI,JP
KANEKO TOMOHIKO,JP
DANIEL MICHAEL J,US
CIRAY MEHMET S,US
ZWANZIG KURT D,US
EPSTEIN MICHAEL JAY,US
VONDRELL RANDY M,US
WEISGERBER ROBERT HAROLD,US
KARVOUNTZI GEORGIA,US
SCHMALZRIEDT SVEN,DE
CHERNOFF ADRIAN B,US
BORRONI-BIRD CHRISTOPHER E,US
SHABANA MOHSEN D.,US
VITALE ROBERT LOUIS,US
WALZ HANS-FRIEDER,DE
MICHELS HORST,DE
BACHINGER PATRICK,DE
SCHUETZ JOERG,DE
BOEGERSHAUSEN CLEMENS,DE
SUNDARESAN MEENAKSHI,DE
SCHULZE HERBERT,DE
CHOI SUNG BUM,KR
CHO IL HEE,KR
BISHOP BENJAMIN ELMER,US
SASAKI TAKASHI,JP
ABE HIROYUKI,JP
EGUCHI TSUYOSHI,JP
SAITO TAKASHI,JP
SUZUKI AKIHIRO,JP
HASUKA YOSHINOBU,JP
SAEKI HIBIKI,JP
WAKE CHIHIRO,JP
KAYANO MORIO,JP
IGARASHI DAISHI,JP
KATO SUGURU,JP
ABD ELHAMID MAHMOUD H,US
MIKHAIL YOUSSEF M,US
BLUNK RICHARD H.,US
BARTHEL LEIF-PATRIK,DE
HOLLNAICHER SIMON,DE
STEINHUEBL SIMON,DE
SWITALLA STEPHAN,DE
ZIEGLER PETER,DE
O'MALLEY RACHEL LOUISE,GB
PETRUCCO ENRICO,GB
MORI MASAKI,JP
SUEMATSU KEIGO,JP
UENO MAKOTO,JP
YOKOYAMA TATSUAKI,JP
FUJITANI HIROSHI,JP
MATSUBA ATSUSHI,JP
HIRAKATA SHUJI,JP
RÜCKERT TIM,DE
SCHUHMACHER DOMINIK,DE
NIPP ECKART,DE
SCHNEIDER THOMAS,DE
FALLER PETER,DE
JANSEN AXEL,DE
SCHELL ANDREAS,DE
SONNTAG JOSEF,DE
IM SE JOON,KR
PAEK JUN YEOL,KR
LUCAS CHRISTIAN,DE
STAECK RUNE,DE
BOLTZE MATTHIAS,DE
SATO MASAHIKO,JP
KAWAHARA MASAHIRO,JP
MORI TAKANORI,JP
KOBAYASHI TSUYOSHI,JP
SASAKI KAZUMA,JP
SHIRASAKA TAKUYA,JP
SRIDHAR K R,US
VENKATARAMAN SWAMINATHAN,US
LYLE WILLIAM DAVID,US
BALLANTINE ARNE,US
SHIMOI RYOICHI,JP
PFALZGRAF MANFRED,DE
HERZOG JACQUES,DE
BALLANTINE ARNE WATSON,US
AOKI TETSUYA,JP
KITAO NORIYUKI,JP
YOSHIDA MICHIO,JP
OGAWA TOMOYA,JP
ECKL RICHARD,DE
LEVANDER OSKAR,FI
PHILIPPART TIMOTHY P,US
SIVAKUMAR MUTHUSWAMY,US
KELLEY RONALD J,US
PENNISI ROBERT W,US
PRATT STEVEN D,US
DURLING MICHAEL,US
SUGIYAMA YOSHINOBU,JP
HOSOI TAKAMI,JP
NISHIUMI HIROAKI,JP
MISHIMA TAKASHI,JP
KASHIWAGI KOICHI,JP
OKUNO HITOSHI,JP
LEE JOON CHAE,KR
CHOI DONG KYU,KR
MOON YOUNG SIK,KR
JUNG SEUNG KYO,KR
JUNG JEHEON,KR
KIM NAM SOO,KR
YAMAGUCHI NAOKI,JP
KUSABA KOSUKE,JP
OJIO TATSUYA,JP
KRUGER TIM,GB
OLMEIJER DAVID,US
OHASHI YASUHIKO,JP
TSUJI YUTAKA,JP
YAMAMOTO YUJI,JP
ISHIKAWA JUN,JP
MIYAJIMA KAZUYOSHI,JP
YAMADA TAKAYUKI,JP
KOGA YUIKO,JP
ESAKA SHIGEAKI,JP
FRANK MICHAEL,DE
VAN HASSELT PETER,DE
SCHWAB CLEMENS,DE
KERSCHL STEFAN,DE
JOHN DENNIS,DE
VON ESEBECK GOETZ FREIHERR,DE
KRATZER SEBASTIAN,DE
DE BEER CHRIS,ZA
RHEAUME JONATHAN,US
COCKS PETER AT,US
MURPHY JOHN S,US
TAGOME MASAKI,JP
KONDO YASURHIRO,JP
KOBILKA BRANDON M,US
KUCZYNSKI JOSEPH,US
WERTZ JASON T,US
HOCH MARTIN M,US
HAUG ALFRED,DE
GRESMANN DIRK,DE
SCHWAB KONRAD,DE
NADA MITSUHIRO,JP
TANO YUTAKA,JP
PAGANELLI GINO,CH
VON HELMOLT RITTMAR,DE
BUCHNER PETER,DE
CHOI JAE WOONG,KR
DO HYUN SUN,KR
YU HEON SU,KR
JIN JUNG KUN,KR
MATSUO JUNICHI,JP
HARA YASUHIRO,JP
INOUE MIKIO,JP
HERDEG WOLFGANG,DE
KLOS HOLGER,DE
SATTLER MARTIN,DE
REICHENBACH FRANZ,CH
HESS SABINE,DE
WILHELM HANS-DIETER,DE
ECK KARL,DE
ZAPP THOMAS,DE
KANEKO YOUHEI,JP
KIZAKI MIKIO,JP
SASAKI SHIGERU,JP
FUJII MANABU,JP
SHIBASAKI SHUNICHI,JP
HAKAMATA NORIHIDE,JP
YANO SHINSUKE,JP
KAZAMA ISAMU,JP
LU LANGUANG,CN
LI YALUN,CN
OUYANG MINGGAO,CN
DU JIUYU,CN
LI JIANQIU,CN
FENG XUNING,CN
HAN XUEBING,CN
HEID OLIVER,DE
HUGHES TIMOTHY,DE
BEASLEY PAUL,GB
YAMANAKA TOMIO,JP
SUZUKI HIROYUKI,JP
KOJIMA HIDETADA,JP
TANAKA YUKIHITO,JP
FUMINORI YAMANASHI,JP
KAWAGUCHI TOMOYA,JP
KIMOTO YUICHI,JP
AUGUET THIERRY,FR
MAGNE PIERRE ALAIN,FR
KUBUSCH DIETMAR,DE
PFEIFFER NORBERT,DE
KUROSAWA ATSUSHI,JP
SUGIYAMA YUICHIRO,JP
MIYAJIMA KAZUHIRO,JP
